criminal_id,criminal_name,gender,number_of_prior_convictions,age_group
1,Casey I. White,Male,6,Youth
2,Logan R. Thomas,Male,2,Youth
3,Kelly V. Thompson,Male,3,Youth
4,Phoenix N. Wilson,Male,2,Youth
5,Finley Y. Rodriguez,Male,1,Youth
6,Brooklyn I. Martin,Male,1,Youth
7,Riley L. Martin,Male,1,Adult
8,Bellamy E. Smith,Male,1,Adult
9,Greer I. Jackson,Male,1,Adult
10,Paris O. Davis,Male,1,Adult
11,Morgan L. Jones,Male,1,Adult
12,Ellis N. Thompson,Male,7,Adult
13,Mason Y. Hernandez,Male,2,Adult
14,Reese B. Martinez,Male,1,Adult
15,Zion Davis,Male,1,Adult
16,Cameron P. Thompson,Male,21,Adult
17,Brooklyn P. Lee,Male,5,Adult
18,Rowan H. Miller,Male,3,Adult
19,Fallon U. Thomas,Male,5,Adult
20,Drew W. White,Male,5,Adult
21,Greer Brown,Male,3,Adult
22,Dakota O. Hernandez,Male,2,Adult
23,Sage H. Gonzalez,Male,2,Adult
24,Oakley O. Gonzalez,Male,4,Adult
25,Addison B. Miller,Male,1,Adult
26,Alex Lopez,Male,4,Adult
27,Angel Q. Taylor,Male,4,Adult
28,Hayden X. Smith,Male,3,Adult
29,Hayden V. Jackson,Male,18,Adult
30,Quinn E. Davis,Male,1,Adult
31,Alex B. Rodriguez,Male,6,Adult
32,Jamie U. Williams,Male,11,Adult
33,Reese F. Miller,Male,35,Adult
34,Casey R. Williams,Male,2,Adult
35,Jessie V. Davis,Male,1,Adult
36,Brett H. Anderson,Male,6,Adult
37,Hayden A. Martinez,Male,14,Adult
38,Emerson U. Lee,Male,8,Adult
39,Erin Z. Miller,Male,1,Adult
40,Shannon Lopez,Male,3,Adult
41,Jordan N. Martinez,Male,3,Adult
42,River N. Johnson,Male,1,Adult
43,Angel A. White,Male,1,Adult
44,Morgan S. Martinez,Male,4,Adult
45,Zion F. Jones,Male,13,Adult
46,Fallon J. Williams,Male,3,Adult
47,Bellamy O. Martinez,Male,1,Adult
48,Cameron Z. Williams,Male,2,Adult
49,Oakley G. Martinez,Male,2,Adult
50,Morgan M. Johnson,Male,4,Adult
51,Parker H. Smith,Female,2,Adult
52,Angel H. Moore,Female,1,Adult
53,Kai J. Miller,Female,1,Adult
54,Amanda Nelson,Female,1,Adult
55,Mellisa Lewis,Female,1,Adult
56,Avery I. Gonzalez,Male,1,Youth
57,Dallas H. Lopez,Male,1,Youth
58,Shannon Q. Moore,Male,4,Adult
59,Campbell U. Miller,Male,1,Adult
60,Sasha A. Anderson,Male,1,Adult
61,Sage T. Garcia,Male,1,Adult
62,Robin J. Wilson,Male,1,Adult
63,Nico W. Garcia,Male,1,Adult
64,Morgan N. Taylor,Male,14,Adult
65,Blake Smith,Male,2,Adult
66,Paris E. Smith,Male,3,Adult
67,Jamie A. Moore,Male,2,Adult
68,Carson V. Hernandez,Male,5,Adult
69,Jamie N. Brown,Male,1,Adult
70,River D. Williams,Male,2,Adult
71,Addison D. Garcia,Male,6,Adult
72,Finley X. Wilson,Male,1,Adult
73,Ash Q. Moore,Male,1,Adult
74,Dane U. Jackson,Male,5,Adult
75,Sage J. Thomas,Male,1,Adult
76,Peyton Y. Miller,Male,2,Adult
77,Ellis B. Smith,Male,1,Adult
78,Casey H. Gonzalez,Male,1,Adult
79,Peyton S. Martin,Male,1,Adult
80,River H. Taylor,Male,2,Adult
81,Justice C. White,Male,1,Adult
82,Hayden P. Rodriguez,Male,6,Adult
83,Blake K. Jackson,Male,1,Adult
84,Justice Y. Johnson,Male,1,Adult
85,Mason U. Davis,Male,2,Adult
86,Mason L. White,Male,1,Adult
87,Finley E. Anderson,Male,2,Adult
88,Shannon M. Rodriguez,Male,1,Adult
89,Logan K. Martin,Male,1,Adult
90,Blake A. Anderson,Male,1,Adult
91,Marley R. Williams,Female,1,Adult
92,Morgan C. Lee,Female,2,Adult
93,Parker F. Rodriguez,Female,1,Adult
94,Jordan B. Martinez,Female,1,Adult
95,Dakota P. Davis,Female,1,Adult
96,Phoenix Q. Jackson,Female,2,Adult
97,Robin B. Lee,Female,1,Adult
98,Ellis I. Rodriguez,Male,2,Adult
99,Hayden I. Taylor,Male,1,Adult
100,Finley V. Gonzalez,Male,1,Adult
101,Casey P. Wilson,Male,1,Adult
102,Finley X. Martinez,Male,2,Adult
103,River M. Hernandez,Male,5,Adult
104,Fallon R. Jackson,Male,2,Adult
105,Jordan L. Jackson,Male,1,Adult
106,Ellis G. Johnson,Male,2,Adult
107,Nico H. Martin,Male,3,Adult
108,Jordan K. Martinez,Male,2,Adult
109,Jessie H. Jones,Male,1,Adult
110,Oakley F. Jackson,Male,2,Adult
111,Brooklyn N. Jones,Male,1,Adult
112,Dane U. Garcia,Male,1,Adult
113,Marley E. Moore,Male,1,Adult
114,Shannon D. Johnson,Male,1,Adult
115,Jordan J. Moore,Female,1,Youth
116,Peyton O. Smith,Female,1,Youth
117,Harley E. Brown,Female,2,Youth
118,Reese F. Wilson,Female,2,Adult
119,Taylor W. Garcia,Female,1,Adult
120,Dane N. Thompson,Female,1,Adult
121,Justice X. Johnson,Female,2,Adult
122,River Y. Williams,Female,1,Adult
123,Dylan R. Hernandez,Female,1,Adult
124,Erin E. White,Female,5,Adult
125,Morgan L. Anderson,Female,8,Adult
126,Drew Y. Smith,Female,2,Adult
127,Sasha A. Wilson,Female,4,Adult
128,Blake F. Hernandez,Female,12,Adult
129,Brett D. Wilson,Female,1,Adult
130,Morgan P. Davis,Female,3,Adult
131,Sasha P. Thomas,Female,8,Adult
132,Harley V. Smith,Female,3,Adult
133,Peyton Q. Taylor,Female,3,Adult
134,Kai Z. Martinez,Female,1,Adult
135,Emerson N. Hernandez,Female,2,Adult
136,Emerson S. Garcia,Female,1,Adult
137,Emerson F. Williams,Female,1,Adult
138,Mason P. Rodriguez,Female,3,Adult
139,River O. Anderson,Female,2,Adult
140,Paris L. Miller,Female,2,Adult
141,Sydney I. Anderson,Female,6,Adult
142,Fallon B. Hernandez,Female,2,Adult
143,Kelly K. Davis,Female,2,Adult
144,Justice A. Brown,Female,2,Adult
145,Finley N. White,Female,4,Adult
146,Casey U. Thompson,Female,2,Adult
147,Tatum O. Brown,Female,1,Adult
148,Casey M. Miller,Female,1,Adult
149,Peyton A. Thomas,Male,3,Youth
150,Casey Q. Lee,Male,30,Youth
151,Blake F. Brown,Male,2,Adult
152,Blake D. Martinez,Male,18,Adult
153,Jamie Y. Davis,Male,3,Adult
154,Logan D. Gonzalez,Male,2,Adult
155,Riley M. Anderson,Male,10,Adult
156,Greer L. Miller,Male,1,Adult
157,Quinn Y. Hernandez,Male,6,Adult
158,Brett P. Johnson,Male,3,Adult
159,Ellis T. Smith,Male,4,Adult
160,Baylor Y. Jackson,Male,1,Adult
161,Ellis P. Smith,Male,5,Adult
162,Brooklyn Q. Martin,Male,3,Adult
163,Jamie U. Gonzalez,Male,6,Adult
164,Logan Y. White,Male,7,Adult
165,Carson G. Martin,Male,1,Adult
166,Morgan B. Rodriguez,Male,7,Adult
167,Kelly I. Brown,Male,1,Adult
168,Evan U. Miller,Male,21,Adult
169,Sage K. Martinez,Male,4,Adult
170,Dane I. Lopez,Male,39,Adult
171,Bellamy A. Jackson,Male,4,Adult
172,Kelly A. Johnson,Male,9,Adult
173,Rowan Martinez,Male,1,Adult
174,Morgan H. Lee,Male,1,Adult
175,Emery K. Thompson,Male,1,Adult
176,Dylan N. Martinez,Male,28,Adult
177,Sasha X. Lopez,Male,2,Adult
178,Carson U. Wilson,Male,19,Adult
179,Greer B. Williams,Male,4,Adult
180,Jessie T. Martin,Male,13,Adult
181,Finley A. Martinez,Male,1,Adult
182,Ellis J. Brown,Male,6,Adult
183,Greer M. Miller,Male,12,Adult
184,Sydney U. Lee,Male,1,Adult
185,Casey I. Miller,Male,3,Adult
186,Reese F. Anderson,Male,6,Adult
187,Riley G. Miller,Male,5,Adult
188,Morgan D. Moore,Male,1,Adult
189,Brooklyn B. Thomas,Male,1,Adult
190,Phoenix U. Lee,Male,1,Adult
191,Evan P. Garcia,Male,4,Adult
192,Brett Z. Johnson,Male,1,Adult
193,Finley L. Taylor,Male,1,Adult
194,Sasha K. Taylor,Male,1,Adult
195,Hayden P. Wilson,Male,3,Adult
196,Oakley M. Moore,Female,2,Adult
197,Drew Taylor,Female,2,Adult
198,Reese S. Jackson,Female,2,Adult
199,Brett I. Lee,Female,2,Adult
200,Evan J. Smith,Female,4,Adult
201,Justice H. Thomas,Male,1,Adult
202,Alex N. Rodriguez,Male,32,Adult
203,Dylan L. Thomas,Male,2,Adult
204,Shannon Williams,Male,1,Adult
205,Corey C. Lopez,Male,1,Adult
206,Alex U. Thomas,Male,4,Adult
207,Logan J. Lopez,Male,3,Adult
208,Riley I. Jones,Male,1,Adult
209,Dakota X. White,Male,9,Adult
210,Fallon V. White,Male,1,Adult
211,Evan M. Johnson,Male,7,Adult
212,Ash A. Wilson,Male,1,Adult
213,Sydney J. Jackson,Male,2,Adult
214,Avery U. Williams,Male,2,Adult
215,London Williams,Male,1,Adult
216,Oakley C. Thompson,Male,2,Adult
217,Casey G. Lopez,Male,2,Adult
218,Hayden V. Davis,Male,1,Adult
219,Morgan A. Rodriguez,Unknown,1,Youth
220,Sasha Y. Miller,Unknown,1,Youth
221,Mason V. Smith,Unknown,1,Youth
222,Brooklyn N. Williams,Unknown,1,Youth
223,Drew D. Jones,Unknown,1,Adult
224,Dakota U. Wilson,Unknown,1,Adult
225,Fallon B. Anderson,Female,1,Youth
226,Reese O. Lee,Female,1,Youth
227,Rowan K. Martinez,Female,2,Adult
228,Tyler A. Garcia,Female,2,Adult
229,Sage Z. Davis,Female,1,Adult
230,Greer V. Rodriguez,Female,1,Adult
231,Erin Z. Williams,Female,4,Adult
232,Alex M. White,Female,1,Adult
233,Hayden Y. Hernandez,Female,1,Adult
234,Sydney P. Anderson,Female,2,Adult
235,Casey A. Lopez,Female,3,Adult
236,Dallas A. Taylor,Female,2,Adult
237,Mason D. Johnson,Female,2,Adult
238,Tyler Z. Gonzalez,Female,7,Adult
239,Riley M. Gonzalez,Female,1,Adult
240,Nico S. Thompson,Female,2,Adult
241,Nico H. Lee,Female,1,Adult
242,Dylan D. Lee,Female,1,Adult
243,Shannon G. Brown,Female,2,Adult
244,Ash I. Wilson,Female,1,Adult
245,Evan O. Rodriguez,Female,7,Adult
246,Dallas Z. Jackson,Female,1,Adult
247,Emerson E. Anderson,Female,1,Adult
248,Cameron R. White,Female,2,Adult
249,Sydney E. Lee,Female,2,Adult
250,Emery O. Rodriguez,Female,1,Adult
251,Ellis O. Garcia,Male,4,Adult
252,Mason V. Martinez,Male,3,Adult
253,Casey O. Moore,Male,3,Adult
254,Campbell H. Lopez,Male,1,Adult
255,Alex I. Rodriguez,Male,1,Adult
256,Sage D. Taylor,Male,3,Adult
257,Erin D. Davis,Male,3,Adult
258,Fallon D. Moore,Male,2,Adult
259,Alex I. Thompson,Male,9,Adult
260,Kai V. Williams,Male,1,Adult
261,Oakley W. Jones,Male,3,Adult
262,Tyler G. Davis,Male,2,Adult
263,Ellis Z. Smith,Female,1,Youth
264,Jessie C. Wilson,Female,1,Youth
